New,Score,Title,Company,Location,Contract,Source,Date,Link
,17,Product Owner (H/F),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,"Barcelone, Espagne",VIE (12 months),VIE,2026-02-23,https://mon-vie-via.businessfrance.fr/offres/237223
,17,Business Development Manager (H/F),JET AIR SERVICE FRANCE,"Dakar, Senegal",VIE (24 months),VIE,2026-05-29,https://mon-vie-via.businessfrance.fr/offres/243381
,17,V.I.E JUNIOR PROJECT MANAGER - FRANCFORT - H/F (H/F),ODDO BHF SCA,"Francfort, Allemagne",VIE (12 months),VIE,2026-06-19,https://mon-vie-via.businessfrance.fr/offres/243956
,17,Product Operations Manager,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/7991343/?gh_jid=7991343
,17,"Product Strategy and Corporate Development Lead, AI",Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/8011158/?gh_jid=8011158
,17,Product Strategy and Corporate Development Lead (EMEA),Datadog,"Paris, France",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/7413847/?gh_jid=7413847
,17,Real Estate Associate Project Manager,Datadog,"Amsterdam, The Netherlands; London, United Kingdom; Paris, France",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/7732564/?gh_jid=7732564
,17,"Business Development Manager, Agentic Commerce",Stripe,"San Francisco, CA; Seattle, WA; New York, NY; Chicago, IL; Atlanta, GA",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7524334
,17,"Consumer Operations, Program Manager",Stripe,"New York, NY",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8074923
,17,Credit Risk Strategy Manager,Stripe,Singapore,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7863824
,17,"Data Science Manager, Finance and Strategy",Stripe,"Seattle, WA OR New York, NY OR Remote North America",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7440963
,17,Finance and Strategy Partner,Stripe,"Chicago, San Francisco, Seattle, New York City",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7463755
,17,Finance & Strategy Partner,Stripe,"New York, NY",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7812163
,17,"Finance & Strategy Partner, Central Engineering",Stripe,"Remote US, SF, SEA, NYC, CHI",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7979885
,17,Fraud Strategy Manager,Stripe,Remote,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8039729
,17,Operations Program Manager,Stripe,US-Remote,Full-time,Greenhouse,2026-07-22,https://stripe.com/jobs/search?gh_jid=8039423
,17,Privacy Operations Program Manager,Stripe,US Remote,Full-time,Greenhouse,2026-07-22,https://stripe.com/jobs/search?gh_jid=8053517
,17,"Product Manager, Growth AI Outreach Motion",Stripe,"Toronto, Remote- Canada",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7809139
,17,Risk Operations Program Manager,Stripe,US-Remote,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8055659
,17,"Risk Strategist, Industry Expansion Strategy",Stripe,"Chicago, SEA, SF, NYC, US-Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7594866
,17,"Strategy & Ops, Intercept",Stripe,"New York, San Francisco, US-Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8060391
,17,"User Risk Strategist, Ecosystem Risk Strategy",Stripe,US-Chicago; US-Atlanta; US-Remote,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7977981
,17,Programs and Business Operations Lead,Airbnb,United States,Full-time,Greenhouse,2026-07-14,https://careers.airbnb.com/positions/8028783?gh_jid=8028783
,17,Strategic Business Operations Manager - Community Support,Airbnb,United States,Full-time,Greenhouse,2026-06-22,https://careers.airbnb.com/positions/8001769?gh_jid=8001769
